"Hostname","IP","Timestamp","OS","OS Version","MAC Address","Received Bytes","Transmited Bytes","Total Flows","Received Packets","Transmited Packets"
"","172.16.254.131","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.11","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.59","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.45","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.75","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.1","2020-07-20T00:00:00.000Z","","","","5243488","3920396","45268","45324","45324"
"","172.16.10.201","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.112","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.125","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.255.254","2020-07-20T00:00:00.000Z","","","","12996","18000","360","38","50"
"","172.16.0.35","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.13","2020-07-20T00:00:00.000Z","","","","8120","4503","57","56","57"
"","172.16.254.1","2020-07-20T00:00:00.000Z","","","","41626","42999","352","270","380"
"","172.16.77.1","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.162","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.0.48","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.1","2020-07-20T00:00:00.000Z","","","","6432","3552","48","48","48"
"","172.16.254.14","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.110","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.10.142","2020-07-20T00:00:00.000Z","","","","4230","4230","47","47","47"
"","172.16.17.53","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.130","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.2.201","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.50.153","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.254.133","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
"","172.16.17.14","2020-07-20T00:00:00.000Z","","","","0","109296","288","0","1728"
"","172.16.17.110","2020-07-20T00:00:00.000Z","","","","0","0","0","0","0"
