"Destination Service","fwd_pkts"
"4282","104400012"
"4287","7143075"
"5986","5388850"
"443","2177709"
"6443","986412"
"5004","940903"
"5660","758972"
"53","597440"
"8080","179956"
"8472","105303"
"27017","103938"
"39480","96322"
"42710","96321"
"3306","51822"
"80","43659"
"123","40959"
"445","15571"
"389","8686"
"33006","8639"
"35952","8639"
