"Source Service","fwd_pkts"
"50738","104400020"
"49712","7135141"
"49852","4057205"
"55129","1630611"
"53027","1331697"
"52034","925313"
"54528","355117"
"443","192642"
"33284","149710"
"52588","112349"
"42710","96279"
"39480","96275"
"43522","95785"
"54744","95742"
"41110","51886"
"53358","51885"
"36060","51883"
"41868","51883"
"38840","51882"
"58046","51882"
